entidad,2020,2021,2022,2023
Aguascalientes,7,10,12,13
Baja California,263,287,257,251
Baja California Sur,4,8,8,5
Campeche,6,11,9,14
Chiapas,69,59,54,64
Chihuahua,319,304,209,237
Ciudad de México,126,112,93,82
Coahuila,25,22,17,9
Colima,89,47,95,123
Durango,15,9,18,9
Estado de México,323,316,367,350
Guanajuato,594,496,498,509
Guerrero,137,141,120,145
Hidalgo,40,39,43,42
Jalisco,218,216,168,125
Michoacán,238,255,230,170
Morelos,75,84,97,145
Nayarit,19,19,11,10
Nuevo León,83,93,143,146
Oaxaca,103,79,117,85
Puebla,97,90,99,83
Querétaro,21,23,20,25
Quintana Roo,67,69,58,63
San Luis Potosí,49,79,56,43
Sinaloa,29,29,24,36
Sonora,81,136,135,123
Tabasco,50,43,39,28
Tamaulipas,60,49,43,39
Tlaxcala,20,29,16,14
Veracruz,124,94,87,75
Yucatán,10,5,6,9
Zacatecas,108,156,160,108
